,image_name,path_to_image_dir,path_to_model,label_filename,path_to_label_dir,path_to_saved_model,image_size,scale,raw_detection_boxes,detection_scores,raw_detection_scores,detection_anchor_indices,detection_multiclass_scores,detection_boxes,detection_classes
0,20000X_0043,/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/20000X_0043.jpeg,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,/Users/mariograndi/TensorFlow/workspace/fastRNN_multiclass/annotations/label_map_multiclass.pbtxt,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.13618904 0.9604014  0.1551126  0.9788947 ],0.9043974876403809,[9.995364e-01 8.900659e-06 4.547250e-04],20.0,[9.5139928e-02 4.6255204e-04 9.0439749e-01],[0.08288641 0.69814014 0.10968767 0.7256025 ],2
1,20000X_0043,/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/20000X_0043.jpeg,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,/Users/mariograndi/TensorFlow/workspace/fastRNN_multiclass/annotations/label_map_multiclass.pbtxt,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.1486654  0.9636     0.16752249 0.9832255 ],0.8613508343696594,[9.8501146e-01 3.9973966e-04 1.4588858e-02],5.0,[1.3797763e-01 6.7156379e-04 8.6135083e-01],[0.70080245 0.4434745  0.7236763  0.47175726],2
2,20000X_0043,/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/20000X_0043.jpeg,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,/Users/mariograndi/TensorFlow/workspace/fastRNN_multiclass/annotations/label_map_multiclass.pbtxt,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.17682843 0.9519005  0.19812815 0.9716711 ],0.8137145042419434,[0.742349   0.01509703 0.24255386],10.0,[0.18382588 0.8137145  0.00245959],[0.75806653 0.4689109  0.7786312  0.4886708 ],1
3,20000X_0043,/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/20000X_0043.jpeg,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,/Users/mariograndi/TensorFlow/workspace/fastRNN_multiclass/annotations/label_map_multiclass.pbtxt,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.21262746 0.96699303 0.23216312 0.99097174],0.7929147481918335,[0.729415   0.00118002 0.26940495],26.0,[0.20575182 0.79291475 0.00133345],[0.77407026 0.4462371  0.7909875  0.46480435],1
4,20000X_0043,/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/20000X_0043.jpeg,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,/Users/mariograndi/TensorFlow/workspace/fastRNN_multiclass/annotations/label_map_multiclass.pbtxt,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.19985247 0.96972185 0.21985906 0.9912533 ],0.7762397527694702,[9.6712130e-01 3.4721976e-04 3.2531429e-02],15.0,[0.22192924 0.00183104 0.77623975],[0.527145   0.5614668  0.5499207  0.58385575],2
5,20000X_0043,/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/20000X_0043.jpeg,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,/Users/mariograndi/TensorFlow/workspace/fastRNN_multiclass/annotations/label_map_multiclass.pbtxt,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.70080245 0.4434745  0.7236763  0.47175726],0.7556608319282532,[1.3797763e-01 6.7156379e-04 8.6135083e-01],62.0,[0.24273545 0.00160373 0.75566083],[0.69050586 0.42310256 0.7109971  0.44563526],2
6,20000X_0043,/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/20000X_0043.jpeg,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,/Users/mariograndi/TensorFlow/workspace/fastRNN_multiclass/annotations/label_map_multiclass.pbtxt,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.16697143 0.9680759  0.18591096 0.9874035 ],0.7271503210067749,[9.9642330e-01 9.7210408e-04 2.6045237e-03],24.0,[0.26646125 0.7271503  0.00638843],[0.70160425 0.56098545 0.71948326 0.5781722 ],1
7,20000X_0043,/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/20000X_0043.jpeg,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,/Users/mariograndi/TensorFlow/workspace/fastRNN_multiclass/annotations/label_map_multiclass.pbtxt,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.2295421  0.9664054  0.25056276 0.9896611 ],0.6924039125442505,[0.3347683  0.00218036 0.6630513 ],36.0,[0.30579758 0.00179844 0.6924039 ],[0.7114354  0.5372967  0.7305382  0.55719596],2
8,20000X_0043,/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/20000X_0043.jpeg,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,/Users/mariograndi/TensorFlow/workspace/fastRNN_multiclass/annotations/label_map_multiclass.pbtxt,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.7134061 0.5198915 0.7294059 0.5360819],0.6630513072013855,[0.69302046 0.00137045 0.305609  ],7.0,[0.3347683  0.00218036 0.6630513 ],[0.2295421  0.9664054  0.25056276 0.9896611 ],2
9,20000X_0043,/Users/mariograndi/TensorFlow/workspace/yt_tutorial/images/test/20000X_0043.jpeg,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,/Users/mariograndi/TensorFlow/workspace/fastRNN_multiclass/annotations/label_map_multiclass.pbtxt,models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.71325225 0.5406824  0.7307306  0.5584304 ],0.5669243335723877,[0.38464907 0.00146702 0.6138839 ],19.0,[0.431131   0.00194473 0.56692433],[0.20922348 0.92396665 0.22988021 0.9458022 ],2
